Unidade;HAS;;;;DM;;;
;Novo;Informado;Estimado;% Est;Novo;Informado;Estimado;% Est
CS ABRAAO;1253;1070;1350;92,8%;473;394;436;108,5%
CS AGRONOMICA;1801;1421;2264;79,5%;729;497;721;101,1%
CS ALTO RIBEIRAO;965;798;1095;88,1%;364;300;352;103,4%
CS ARMACAO;815;583;880;92,6%;297;198;281;105,7%
CS BALNEARIO;1008;803;943;106,9%;358;267;305;117,4%
CS BARRA DA LAGOA;1035;594;1428;72,5%;323;205;457;70,7%
CS CACHOEIRA DO BOM JESUS;1244;874;1312;94,8%;415;305;419;99,0%
CS CAIEIRA DA BARRA DO SUL;491;370;347;141,5%;190;132;111;171,2%
CS CAMPECHE;1395;987;1758;79,4%;400;258;566;70,7%
CS CANASVIEIRAS;2895;2089;3062;94,5%;966;703;987;97,9%
CS CANTO DA LAGOA;217;116;458;47,4%;69;51;150;46,0%
CS CAPIVARI;2789;2022;2677;104,2%;868;566;854;101,6%
CS CAPOEIRAS;1508;1295;1287;117,2%;587;477;415;141,4%
CS CARIANOS;1131;850;1360;83,2%;371;245;439;84,5%
CS CENTRO;1415;1148;1995;70,9%;561;478;642;87,4%
CS COLONINHA;1539;1175;1359;113,2%;514;380;444;115,8%
CS COQUEIROS;1263;995;1398;90,3%;456;346;449;101,6%
CS CORREGO GRANDE;905;640;1540;58,8%;365;258;495;73,7%
CS COSTA DA LAGOA;124;83;151;82,1%;58;38;48;120,8%
CS COSTEIRA DO PIRAJUBAE;1684;1277;1704;98,8%;715;573;548;130,5%
CS ESTREITO;1733;1519;1919;90,3%;621;535;620;100,2%
CS FAZENDA DO RIO TAVARES;1353;950;1563;86,6%;440;320;504;87,3%
CS INGLESES;3586;2554;3614;99,2%;1107;773;1152;96,1%
CS ITACORUBI;1350;1030;2279;59,2%;449;345;732;61,3%
CS JARDIM ATLANTICO;776;626;655;118,5%;302;246;208;145,2%
CS JOAO PAULO;753;615;945;79,7%;269;215;305;88,2%
CS JURERE;692;501;768;90,1%;218;174;244;89,3%
CS LAGOA DA CONCEICAO;1067;840;1567;68,1%;323;243;503;64,2%
CS MONTE CRISTO;2091;1681;2260;92,5%;804;619;719;111,8%
CS MONTE SERRAT;1125;949;1192;94,4%;405;324;383;105,7%
CS MORRO DAS PEDRAS;1011;664;1164;86,9%;345;245;368;93,8%
CS NOVO CONTINENTE;1067;849;1224;87,2%;405;306;391;103,6%
CS PANTANAL;974;764;1869;52,1%;351;286;601;58,4%
CS PANTANO DO SUL;698;551;713;97,9%;242;199;229;105,7%
CS PONTA DAS CANAS;986;770;1051;93,8%;283;206;335;84,5%
CS PRAINHA;1072;811;1282;83,6%;401;272;410;97,8%
CS RATONES;642;481;642;100,0%;195;137;207;94,2%
CS RIBEIRAO DA ILHA;361;268;398;90,7%;113;67;127;89,0%
CS RIO TAVARES;907;716;1623;55,9%;284;222;520;54,6%
CS RIO VERMELHO;2873;2201;2803;102,5%;897;661;895;100,2%
CS SACO DOS LIMOES;1620;1338;1796;90,2%;606;495;576;105,2%
CS SACO GRANDE;2467;2001;2996;82,3%;870;658;960;90,6%
CS SANTINHO;1226;864;1372;89,4%;416;303;437;95,2%
CS SANTO ANTONIO DE LISBOA;1086;750;1217;89,2%;389;262;390;99,7%
CS SAPE;851;625;709;120,0%;280;184;229;122,3%
CS TAPERA;2286;1798;2156;106,0%;989;761;690;143,3%
CS TRINDADE;1936;1413;3227;60,0%;658;462;1033;63,7%
CS VARGEM GRANDE;803;592;831;96,6%;273;204;269;101,5%
CS VARGEM PEQUENA;415;300;398;104,3%;160;131;126;127,0%
CS VILA APARECIDA;457;371;537;85,1%;167;121;173;96,5%
Total;63741;48582;73138;87,2%;22341;16647;23455;95,3%
